id;type;x;y;dist;mag;spec
* 36 Oph A;pm;258.8366;-26.6017;18.37;5.1;K2V
V* V2215 Oph;rs;259.0557;-26.5461;18.37;6.3;K5V
HD 155876;dbl*;258.033;45.6659;18.45;9.5;M3V
V* YZ CMi;ev;116.1674;3.5525;18.48;11.2;M4.0Ve
HD 191408;pm;302.7997;-36.1012;18.55;5.3;K2.5V
* e Eri;pm;49.9819;-43.0698;18.64;4.3;G6V
V* QY Aur;dbl*;107.5076;38.5295;18.68;11.5;M4.5Ve
* del Pav;pm;302.1817;-66.1821;18.82;3.6;G8IV
SIMP J013656.5+093347.3;bd;24.2357;9.5631;18.88;~;T2.0
HD 191849;pm;303.4725;-45.164;19.02;8.0;M0V
HD 152751;dbl*;253.8698;-8.3363;19.12;9.0;M3.5Ve
EGGR 372;wd;267.0333;70.8766;19.17;~;DQ9P
BD-11 3759;by;218.57;-12.5196;19.29;11.3;M3.5V
BD+19 5116B;ev;352.9691;19.9372;19.30;~;M4.0Ve
BD+19 5116A;ev;352.9674;19.9373;19.33;10.2;M3.5Ve
BD-07 4003;by;229.8618;-7.7223;19.44;10.6;M3V
HD 79210;dbl*;138.5949;52.6866;19.54;~;K7V
HD 79211;ev;138.6028;52.6864;19.54;~;M0V
LP 368-128;pm;135.0981;21.8347;19.62;16.1;M6.5Ve
2MASS J15031961+2525196;bd;225.8317;25.4222;19.81;~;T5.5
LP 944-20;low;54.8969;-35.4288;19.83;18.7;M9.5Ve
EGGR 45;wd;88.7897;-4.1686;19.88;14.5;DZ11
V* GL Vir;ev;184.7475;11.126;19.95;13.9;M4.5Ve
G 202-48;pm;246.3526;54.3041;19.99;10.1;M1.5V
VB 8;ev;253.8969;-8.3947;20.04;16.9;M7Ve
Wolf 629;pm;253.8551;-8.3226;20.05;11.8;M3.5V
L 100-115;pm;145.6931;-68.885;20.07;12.8;M4.0V
HD 219134;ev;348.3207;57.1684;20.19;5.6;K3V
L 471-42;pm;189.7046;-38.3816;20.56;12.7;M4.0V
Ross 104;pm;165.0177;22.833;20.82;10.0;M4V
* ksi Boo B;pm;222.846;19.1019;20.82;6.8;K5Ve
* ksi Boo A;pm;222.8475;19.1004;20.84;4.7;G7Ve
Ross 619;pm;122.9899;8.773;20.89;12.8;M4.5Ve
Ross 775;dbl*;322.4034;17.6433;20.92;10.3;M3.0Ve
NAME Scholz's star;low;110.0136;-8.7805;20.99;~;M9.5+T5
2MASS J19284155+2356016;bd;292.173;23.9339;21.08;~;T6
BD-17 588A;pm;45.4641;-16.5933;21.18;10.5;M3.0
HD 216899;pm;344.145;16.5534;21.19;8.6;M1.5Ve
Wolf 358;by;162.7168;6.8081;21.50;11.7;M4V
BD+01 2447;pm;157.2315;0.841;21.72;9.7;dM2
HD 199305;pm;313.3325;62.1544;21.72;~;M1.0Ve
LSPM J2146+3813;pm;326.592;38.218;21.75;~;M5V
LP 914-54;ev;224.1594;-28.1635;21.76;17.1;M7.0Ve
L 230-188;pm;62.6172;-53.6023;21.93;13.6;M4.5
NAME BD-17 588BC;dbl;45.4628;-16.592;22.09;10.6;M2.5V
G 157-77;pm;353.7936;-2.3891;22.15;14.7;M5.0Ve
V* BX Cet;by;39.0636;6.8716;22.29;~;M3.5V
HD 16160;pm;39.0204;6.8868;22.31;~;K3V
2MASS J08354256-0819237;bd;128.9272;-8.3232;22.31;~;L6.5
L 788-34;ev;335.7792;-17.6073;22.32;13.3;M4.5Ve
HD 156384C;pm;259.7451;-34.9968;22.35;10.2;M1.5V
2MASS J06073908+2429574;bd;91.9126;24.4991;22.35;~;L9
2MASSW J1507476-162738;bd;226.9486;-16.4611;22.87;22.1;L5V
G 161-7;dbl;138.9017;-10.5965;22.87;13.8;M5.0V
HD 4628;pm;12.0957;5.2806;22.94;5.7;K2.5V
Wolf 922;dbl;322.8274;-9.7907;23.01;12.0;M4.5V
* bet Hyi;pm;6.4378;-77.2542;23.02;2.8;G0V
G 24-16;ev;307.4513;9.6891;23.06;~;M4.5V
Gaia DR2 6702242043883732864;pm;274.5263;-51.4112;23.24;~;~
G 203-47;dbl*;257.3814;43.6813;23.45;13.7;M3.5V
V* TW PsA;by;344.1002;-31.5656;23.46;6.5;K4Ve
G 141-36;pm;282.0731;7.6892;23.50;~;M5.0V
BD+11 2576;pm;202.4991;10.3772;23.54;9.0;M1.0Ve
G 258-33;ev;274.7385;66.1926;23.58;~;M4.5V
* 107 Psc;pm;25.624;20.2685;23.59;5.2;K1V
L 499-56;pm;330.6224;-37.0809;23.66;~;M3.0V
* mu. Cas;dbl*;17.0679;54.9202;23.68;5.2;G5Vb
* alf PsA C;dbl;342.0187;-24.3688;23.69;12.6;M4.0Ve
V* VX Ari;ev;41.0646;25.5234;23.70;10.6;dM3
V* AN Sex;rs;153.0736;-3.7457;23.78;9.3;M2V
HD 157881;pm;261.4385;2.1114;23.80;7.6;K7V
SIPS J1259-4336;pm;194.7699;-43.6068;23.84;~;M8:
LP 881-64;dbl;6.1841;-27.1404;23.86;15.3;M5.5/6Ve+M8.5Ve+M9/9.5V
G 192-13;pm;90.296;59.5972;23.86;~;M4.0Ve
HD 165222;pm;271.2816;-3.0313;23.88;9.4;M0V
G 109-35;pm;104.8701;19.3488;23.92;~;M5.0Ve
G 227-22;pm;270.5692;64.2623;24.05;~;M5.0V
WISEP J180026.60+013453.1;bd;270.1103;1.5825;24.10;~;L7.5
G 202-45;dbl*;246.0388;48.3531;24.21;~;M3.0Ve
