id;type;x;y;dist;mag;spec
Gaia DR2 3330473222213987072;Star;95.7845;10.3015;60.74;~;~
2MASS J17065487-1314396;bd;256.7286;-13.2444;60.75;~;L5pec
SIPS J1426-2946;pm;216.5233;-29.7805;60.76;14.4;~
LP 314-44;pm;144.8471;29.7242;60.76;~;M6.5Ve
CD-24 17445;pm;345.1525;-23.9696;60.77;11.6;M2V
2MASS J00145575-4844171;bd;3.7324;-48.738;60.77;~;L2.5
G 188-49B;pm;333.6318;27.8551;60.77;~;~
CD-24 17443;pm;345.1392;-23.9529;60.79;11.6;M1:V
HD 128642;dbl*;217.343;80.8098;60.79;6.9;G5
Ross 776;ev;319.0242;29.8642;60.79;~;M3.3V
BD+21 2486B;pm;196.564;20.729;60.80;~;M4
2MASS J01581572+1807128;pm;29.5655;18.1202;60.80;~;~
L 630-44;pm;261.8087;-25.1601;60.81;13.4;M4
HD 136923;pm;230.6951;18.919;60.81;7.1;G9V
PG 1350-090;wd;208.3147;-9.2759;60.82;14.6;DAP5.3
HD 64606;dbl*;118.6425;-1.4123;60.84;7.4;K0V
2MASS J20055044+1911189;pm;301.4602;19.1887;60.86;~;~
2MASS J19123926-5016173;pm;288.1636;-50.2715;60.86;~;~
UCAC4 378-124295;pm;278.5672;-14.4376;60.86;~;~
CPD-64 303;pm;61.5082;-64.0936;60.90;10.4;M1e
LP 571-164;pm;286.8422;4.732;60.91;~;~
UCAC4 130-003735;pm;61.5162;-64.097;60.92;~;~
Gaia EDR3 265201384281320448;pm;87.8546;55.1891;60.92;~;~
G 33-6;pm;11.0805;12.6174;60.92;~;M3.5Ve
Ross 29B;pm;63.2926;50.5283;60.93;~;~
LP 855-14;pm;201.9749;-26.9504;60.94;11.8;M1.5V
* nu.02 CMa;pm;99.171;-19.2559;60.95;3.9;K1.5III-IVFe1
UCAC3 226-217434;pm;300.1791;22.7095;60.95;~;M4V
HD 219764;pm;349.7725;-60.5207;60.95;8.9;K5Vk:
PM J10367+1521A;pm;159.1868;15.3611;60.96;~;M3.5
G 127-50;ev;340.8466;22.1383;60.96;~;M5V
* eta Cru;dbl*;181.7204;-64.6137;60.96;4.1;F2V
LP 758-62 A;pm;329.0825;-10.338;60.97;~;~
LP 854-50;wd;199.8531;-21.7986;60.97;16.7;DA8.5
LP 854-3;pm;194.0556;-22.0829;60.97;12.5;M2.5
HD 200525C;pm;317.349;-73.174;60.98;13.5;~
L 462-119 A;pm;146.4169;-39.0407;60.99;~;~
UPM J2005-2218;pm;301.3966;-22.3045;60.99;13.9;~
L 326-41;pm;182.4924;-46.1923;61.00;13.2;M3.5
BD-21 1074C;pm;76.7061;-21.5846;61.00;~;~
SIPS J0534-1511;low;83.7435;-15.1955;61.02;~;M8.9V
HD 189733;by;300.1821;22.7109;61.02;7.6;K2V
HD 105671;pm;182.4791;-46.2084;61.04;8.4;K4Vk:
HD 110810;pm;191.3101;-57.358;61.04;7.8;K4V
BD-05 4394;pm;255.7066;-6.0684;61.04;10.8;M0
BD-21 1074B;pm;76.7061;-21.5842;61.07;~;~
TWA 22;Low Mass X-ray Binary;154.3621;-53.9073;61.08;14.0;M5
HD 35112;dbl;80.6562;2.6032;61.08;7.7;K3V
BD+82 733;Variable Star;355.2414;82.872;61.09;8.4;K2
LP 12-440;pm;8.7822;76.4651;61.09;~;M7Ve
L 728-1;pm;32.4006;-14.3591;61.09;11.8;M2.5V
G 178-53;pm;223.0696;41.3219;61.10;~;~
RX J0828.6+6602;dbl;127.1718;66.0401;61.10;13.5;M4.0V
LP 411-18;pm;43.3588;17.409;61.11;12.7;M3.5Ve
LSPM J0300+6251;pm;45.0113;62.8662;61.11;~;~
L 108-87;pm;232.7169;-68.0216;61.12;13.5;M4
LP 925-27;pm;294.6142;-32.5237;61.13;13.8;M3.0
G 67-15;pm;340.6615;17.6692;61.14;11.7;M2.5Ve
LSPM J2023+0800;pm;305.8422;8.0042;61.15;~;~
G 192-26;pm;96.4708;56.1736;61.16;~;M4
G 161-74A;pm;146.5385;-4.4287;61.16;~;~
SCR J1247-0525;pm;191.8113;-5.4204;61.16;14.8;M4.5
PM J08104-1109;pm;122.6102;-11.1602;61.16;11.8;M0.5V
Ross 29A;pm;63.292;50.5281;61.16;~;~
2MASS J11592585-3634495;pm;179.8578;-36.5805;61.17;~;~
2MASS J12451698-5721348;pm;191.3208;-57.3597;61.17;~;~
BD-21 1074A;ev;76.708;-21.5859;61.18;10.4;M2
LP 704-15;dbl;359.3358;-12.9802;61.19;13.0;M4+M8
* eps Sco B;pm;252.5447;-34.2957;61.20;~;~
UCAC4 173-060507;pm;164.5221;-55.4215;61.20;~;~
G 253-34;pm;150.2963;81.1563;61.21;~;M4.5
2MASS J01530103+2937044;pm;28.2544;29.6178;61.21;~;~
LP 704-14;ev;359.3307;-12.978;61.21;13.0;M3
BD+40 4631;pm;326.1248;41.5975;61.21;9.7;K8V
G 249-28;pm;90.2063;68.1563;61.21;12.9;M3.5Ve
V* V401 Dra;by;274.3547;48.3673;61.22;11.4;dM2.0
RX J0711.2-2117B;pm;107.8212;-21.2986;61.23;~;~
G 130-9;pm;356.4563;36.255;61.23;~;K4V
LP 758-62 B;pm;329.0825;-10.3384;61.24;~;~
G 249-27;pm;90.1942;68.1414;61.24;13.3;M4
StKM 1-785;pm;143.805;61.2436;61.24;11.9;M2.5Ve
2MASS J08334323-5336417;pm;128.43;-53.6115;61.25;~;~
SCR J1159-4256;pm;179.9069;-42.9442;61.27;13.4;~
LP 346-21;pm;350.9997;28.5677;61.28;~;M4.5Ve
G 111-56;pm;121.7305;42.2925;61.28;~;M4.0V
CD-42 1943B;pm;81.6485;-42.3386;61.28;~;~
RX J0711.2-2117A;pm;107.8205;-21.2985;61.28;~;~
UCAC4 141-004923;pm;74.8845;-61.8845;61.28;12.5;M2.5
LP 701-7;pm;341.6098;-6.6573;61.29;16.0;M5
CD-42 1943A;pm;81.6501;-42.3382;61.30;~;~
L 375-2;pm;68.1776;-39.7867;61.30;12.5;M2.0
UPM J0641+1226;Star;100.4287;12.4455;61.30;~;~
CD-42 1943;dbl;81.6501;-42.3382;61.30;11.0;M1
G 161-74B;pm;146.5385;-4.4284;61.31;~;~
LP 410-38;pm;37.6037;16.807;61.33;~;sdM6e
GD 219;wd;290.4184;14.6782;61.34;13.0;DA3.3
2MASSI J0019457+521317;pm;4.941;52.2215;61.34;~;M9
HD 97214;pm;167.7946;-10.9509;61.34;9.2;K5V
HD 181321;dbl*;290.3739;-34.9834;61.36;6.5;G2V
PM J18265-1923;pm;276.6316;-19.3919;61.37;13.7;~
APMPM J2359-6246;pm;359.6787;-62.7618;61.38;17.0;M6Ve
PM J11422-0121;pm;175.5544;-1.3651;61.39;12.6;M3
LP 634-16;pm;300.2756;0.271;61.39;~;M2V
SCR J2135-5325;pm;323.9151;-53.4254;61.41;15.8;~
2MASS J13054106+2046394;bd;196.4211;20.7776;61.42;~;L5
G 141-46;pm;283.3557;2.8469;61.42;~;M2.5Ve
SCR J1157-0149;pm;179.4398;-1.8174;61.43;15.9;~
BD+28 4660;pm;358.2858;29.0181;61.43;9.8;K6V
2MASS J23224684-3133231;bd;350.6951;-31.5565;61.44;~;L1.6:V
LP 789-23;pm;151.6331;-16.8906;61.49;~;M7.5Ve
2MASSW J1615441+355900;bd;243.934;35.9832;61.52;~;L3V
LSPM J2012+0112;pm;303.2498;1.2162;61.53;~;M6V
G 29-73A;pm;357.6507;9.9482;61.53;~;~
LP 609-24;low;150.8298;-1.0856;61.54;21.0;M7e
G 10-17;pm;170.4104;6.1406;61.55;13.6;M3.5V
LSPM J0704+1657;pm;106.1437;16.9575;61.57;~;M4.0
G 272-25;pm;22.6245;-16.4049;61.58;13.9;~
UCAC4 173-170060;pm;249.9041;-55.41;61.59;~;~
G 140-9;dbl;265.7533;5.7893;61.60;10.7;M0V
L 225-57;pm;38.5883;-53.0935;61.61;12.6;M4
2MASS J15345325+1219495;bd;233.722;12.3304;61.61;~;L3
SSSPM J1148-7458;wd;176.8936;-74.9665;61.61;~;DC11+
G 197-47;wd;182.872;57.4048;61.62;~;DA8.6
LP 732-15;pm;169.2769;-11.3737;61.63;13.8;M3V
EGGR 321;wd;113.3787;64.1576;61.63;~;DA11P
EGGR 283;wd;342.846;29.6623;61.65;~;DA8.1
G 76-19;ev;39.8222;7.4714;61.65;~;M3.7V
LSPM J1403+3007;low;210.8429;30.1318;61.66;~;M9V
LP 94-367;pm;181.4015;56.396;61.67;~;M5V
LP 638-50;pm;327.8626;-1.454;61.67;~;M5.5Ve
Ross 21;pm;37.8653;57.3787;61.71;~;M3.5
2MASS J16482431-2913100;pm;252.1013;-29.2195;61.72;~;~
2MASS J06431389+1631428;pm;100.8078;16.5286;61.75;~;~
G 39-9;pm;65.6396;39.0121;61.76;~;M5V
2MASS J23174712-4838501;bd;349.4463;-48.6473;61.76;~;L5
G 217-56;pm;8.0655;54.484;61.78;~;M4.5V
G 35-39;pm;34.6498;20.7971;61.78;~;M2.5Ve
2MASS J03595571-1635083;pm;59.9822;-16.5856;61.79;~;~
LP 884-94;pm;27.7714;-30.9658;61.80;~;M4.5Ve
G 132-25;dbl;11.4862;33.7864;61.81;~;M5Ve
CD-58 7734;pm;305.6748;-58.2857;61.81;10.6;M1V
LSPM J1954+1801;pm;298.6816;18.0329;61.82;~;~
Ross 826;pm;319.016;29.8628;61.83;~;M3.3V
LSR J0804+6153;low;121.0241;61.8925;61.85;~;M9:
2MASS J06402517-2352194;pm;100.105;-23.8721;61.85;~;~
BD+34 2541;pm;218.7409;33.7467;61.86;~;K6V
G 267-100;dbl;6.2679;-36.7716;61.87;12.5;M2.5
1RXS J205724.2+295123;Star;314.3486;29.8697;61.88;~;~
SIPS J0227-1624;bd;36.793;-16.4132;61.88;~;L1.5
WT 1681;pm;145.913;-19.7622;61.88;13.7;M2.0
LP 772-8;pm;47.4633;-19.1133;61.90;14.1;M4.0
UCAC4 273-065047;pm;189.3589;-35.4548;61.90;~;~
UPM J0231-5432A;pm;308.7783;2.3081;61.90;13.7;~
UPM J0231-5432B;pm;308.7754;2.3046;61.90;~;~
L 691-8;pm;210.6203;-21.0102;61.91;13.2;M3.5
LP 316-400;pm;159.3703;30.1863;61.91;~;M8V
Gaia EDR3 4198241063381323264;pm;287.9359;-12.1677;61.91;~;~
HD 112758;dbl*;194.7565;-9.8341;61.93;7.6;G9V
WT 1680;pm;145.911;-19.7615;61.93;~;~
LSPM J0143+0014;pm;25.9723;0.2423;61.94;~;~
Ross 644;pm;253.5501;11.9147;61.96;10.7;K7V
HD 217107;dbl;344.5648;-2.3954;61.98;6.2;G8IV/V
G 187-13;dbl;315.317;33.2426;61.98;~;M4V
LP 914-6;pm;220.0923;-27.8784;61.98;13.6;M3.0Ve
UPM J0448-3539;pm;72.1672;-35.6561;61.99;~;~
UPM J0626+2032;Star;96.642;20.5374;62.03;~;~
LP 698-2;pm;323.124;-5.1997;62.07;~;M6Ve
HD 12058;pm;29.1354;-60.2266;62.07;8.6;K4.5Vk:
PM J00468+1603;pm;11.7221;16.0507;62.08;12.0;M2.0Ve
L 159-20;pm;283.0008;-60.7697;62.11;13.3;M3.5
LP 932-81;pm;342.1599;-31.1448;62.13;12.4;M3
GD 356;wd;250.2381;53.6859;62.15;~;DAEH6.5
G 160-19;pm;55.8419;-9.5641;62.15;14.6;M4.5V
BD+55 1823;dbl*;244.2723;55.2691;62.17;9.5;M1.5Ve
LP 315-53;low;154.1445;27.8636;62.18;18.9;M8V
G 132-32;pm;12.2112;35.8562;62.20;~;~
HD 198550;dbl*;312.544;29.3841;62.22;8.3;K5V
* alf Cae;pm;70.1405;-41.8638;62.22;4.5;F2V
LP 593-56;wd;56.7784;1.6466;62.23;16.5;DQ9
Wolf 386;pm;170.9357;8.5635;62.24;11.2;M0V
SIPS J0318-5053;pm;49.6772;-50.8852;62.25;14.9;~
CD-51 89;pm;5.8272;-50.8939;62.26;11.9;M4V
BD+36 2322B;pm;194.4138;35.222;62.28;13.2;M4.5V
HD 89269;pm;154.7164;44.0483;62.28;~;G4V
G 5-43;pm;52.9464;14.3216;62.30;12.3;M2.5Ve
UPM J0644-1631;pm;101.2235;-16.5199;62.30;11.8;~
LP 375-69;pm;179.996;21.0841;62.30;~;~
G 65-40;pm;214.2703;10.5933;62.30;~;M2V
2MASS J04393407-3235516;pm;69.8919;-32.5977;62.32;~;M5.5
Ross 991;pm;191.7541;46.6259;62.33;~;M2.5V
LSPM J1723+1338;pm;260.9867;13.6389;62.34;~;M4.0V
G 68-37;ev;356.087;21.6014;62.34;13.4;M3.4V
LP 721-16;pm;104.7903;-13.7904;62.35;11.5;M2.5
L 591-6;pm;67.1488;-25.1692;62.35;12.0;M2.5
HD 202751;pm;319.5124;0.1616;62.36;8.2;K4/5V
BD-10 47;pm;4.7732;-9.9649;62.37;9.9;M0V
G 139-50;pm;264.7135;8.0265;62.37;~;M2.5Ve
Haro 6-47;Variable Star of Orion Type;82.2009;11.3486;62.38;14.8;~
HD 180161;by;288.0473;57.672;62.38;~;K0
LP 798-25;dbl;205.541;-16.0065;62.39;13.5;M4e
G 88-2;pm;104.8702;19.5094;62.40;~;M3.0Ve
G 268-47;pm;11.7832;-23.5078;62.40;14.4;M3
BD-09 956A;pm;70.122;-9.1962;62.43;~;~
* c UMa;dbl*;138.5856;61.4233;62.44;5.2;G0V
LAWD 68;wd;264.253;-54.4324;62.45;15.8;DAs
PM J14099-2403W;pm;212.4957;-24.061;62.47;13.6;~
LP 986-16;pm;348.965;-37.5585;62.49;~;~
L 133-11;pm;90.3289;-60.7859;62.49;13.3;~
HD 128400;pm;220.4686;-75.1395;62.50;6.8;G6V
LEHPM 2-90;pm;296.3982;-25.9561;62.52;~;M9
G 86-7;pm;71.1556;29.8211;62.53;~;M3.41
DENIS J020529.0-115925;bd;31.3724;-11.9916;62.53;~;L7V
LP 263-71;pm;166.3895;32.2313;62.53;~;~
Ross 878;pm;111.8692;22.0439;62.53;11.2;M2V
LP 855-60;pm;206.0871;-26.3098;62.54;13.3;M3.5V
LSR J0155+3758;pm;28.7597;37.9673;62.55;14.8;M5.0V
2MASS J19294379+1101571;pm;292.4325;11.0325;62.55;~;~
LP 930-22;pm;325.445;-27.0818;62.55;15.2;M4.5Ve
SCR J1125-3834;pm;171.4053;-38.5786;62.56;14.6;~
Ross 364;pm;44.1434;55.4373;62.57;~;M1.0Ve
G 234-56;pm;137.1915;66.594;62.57;~;M2.5
Ross 365;pm;44.1465;55.4416;62.57;~;M2.5Ve
L 133-12;pm;90.3293;-60.784;62.58;~;~
2MASS J11243908-4213114;pm;171.1628;-42.2198;62.58;~;~
SCR J1429-4808;pm;217.4224;-48.1421;62.58;~;~
UCAC4 534-003054;pm;26.32;16.6164;62.59;~;~
LP 636-16;pm;313.1312;-1.7859;62.60;15.5;M4.5Ve
G 234-35;pm;127.4847;61.7258;62.60;~;K7V
2MASS J11061197+2754225;bd;166.5497;27.9061;62.63;~;T0.0+T4.5
L 484-31;pm;254.188;-37.0607;62.64;11.4;M1
HD 64468B;pm;118.7252;19.2376;62.64;~;~
Wolf 750;pm;262.1266;37.452;62.65;~;M3.55
BD-06 1339;pm;88.2512;-5.9948;62.66;9.7;K7V/M0V
HD 64468;dbl*;118.7253;19.2363;62.66;7.7;K2.5V
HD 51866;pm;105.4108;48.3787;62.66;~;K3V
G 154-8;pm;265.6345;-16.6402;62.68;13.0;M2.5
LP 287-39;wd;334.4484;37.1308;62.69;~;DC
L 360-13;pm;355.253;-44.955;62.69;13.6;M2
2MASS J05500772+1610556;pm;87.5323;16.1819;62.70;~;~
TYC 6514-1745-1;Star;96.0355;-26.9232;62.70;11.4;~
2MASS J18510178+5935040;bd;282.7575;59.5845;62.70;~;L9
LP 872-48;wd;313.0702;-22.1093;62.71;15.0;DC
BD+65 1846;pm;346.1259;66.7644;62.71;9.8;M0.5Ve
HD 149806;pm;249.2851;0.2543;62.71;7.1;K0V
LSPM J0926+0857;pm;141.6877;8.9617;62.72;15.2;~
GD 25;wd;34.0681;39.8571;62.72;~;DA5.4
HD 30501;dbl*;71.4107;-50.0742;62.74;7.6;K2V
2MASSI J1627279+810507;low;246.8661;81.0855;62.75;~;M9e
HD 212330;pm;336.2349;-57.7975;62.76;5.3;G2IV-V
* tau Cyg;Variable Star of delta Sct type;318.6979;38.0453;62.77;3.7;F2IV
UCAC3 65-476229;pm;336.2233;-57.7999;62.77;~;~
* pi.01 Cnc;dbl*;138.0731;14.996;62.78;6.5;G9V
HD 104067;pm;179.7917;-20.3538;62.78;7.9;K2V
2MASS J19060693-0515043;pm;286.5289;-5.2512;62.81;~;~
HD 220221;pm;350.4352;45.1761;62.81;~;K3V(k)
MCC 150;pm;210.5818;13.6896;62.82;10.6;M1V
LP 328-40;pm;236.5976;31.0485;62.82;~;~
BD-09 956B;pm;70.1219;-9.196;62.83;~;~
G 46-23;pm;137.5031;9.0272;62.83;~;~
G 211-14;dbl;318.6953;38.0206;62.84;11.9;M2.5Ve
LP 294-35;pm;15.2787;29.2591;62.84;~;~
SSSPM J2352-2538;low;357.9603;-25.6269;62.87;~;M9e
HD 208313;by;328.6877;32.3286;62.87;~;K1
G 35-32;pm;32.9207;18.5605;62.89;~;M3.0Ve
L 527-16;pm;109.1218;-31.5435;62.90;13.5;~
L 210-70;pm;306.9253;-56.457;62.90;~;M2.5V
G 189-1;pm;331.5028;39.3008;62.90;~;M3.0Ve
NAME Kelu-1;bd;196.4174;-25.6849;62.91;~;L2+L3.5
CD-30 8858;pm;164.6462;-31.1439;62.93;11.9;M2
G 220-6;pm;34.2714;54.5815;62.93;~;M4.87
HD 340345;dbl;307.5445;26.8428;62.94;~;M1V
SCR J0509-4325;pm;77.4327;-43.4215;62.94;14.1;~
PM J06411-0432;wd;100.2997;-4.5368;62.95;17.3;DC
UPM J1335-2322;pm;203.962;-23.3759;62.95;14.1;~
G 184-22;pm;281.0699;22.1566;62.95;~;M3.5Ve
* 22 Lyn;pm;112.4832;49.6725;62.95;5.4;F6V
G 38-24;pm;61.0255;30.7127;62.96;~;M1.5V
PM J17082-3436;pm;257.0617;-34.6063;62.96;14.2;~
UPM J1142-6440;pm;175.6247;-64.6761;62.96;~;~
HD 34751B;pm;79.6981;-21.3935;62.96;~;M3.5V
SIPS J1452-3458;pm;223.2203;-34.9796;62.97;~;~
UCAC4 540-080883;Star;282.1779;17.8086;62.98;~;~
PM J13335+7029;pm;203.3904;70.4948;63.00;13.1;M3.5V
G 29-18;pm;349.0353;6.7434;63.00;~;M3
PM J07186+0830E;pm;109.6746;8.5004;63.01;13.8;~
BD+05 2767;pm;203.5896;4.6674;63.01;9.9;K5V
HD 34751;pm;79.6966;-21.3938;63.02;9.5;K6Vk
UCAC4 480-049635;Star;163.7732;5.9953;63.02;13.0;M3.6
G 41-18;pm;135.5828;8.4685;63.03;11.7;M3.0Ve
* gam Dor;Variable Star of gamma Dor type;64.0066;-51.4866;63.04;4.2;F1V
LP 160-22;pm;95.9635;45.6679;63.04;~;M5.0V
SCR J1726-8433;pm;261.5955;-84.5523;63.04;14.3;~
G 151-51;pm;230.393;-2.2828;63.05;11.4;M0V
LSPM J1943+4518;ev;295.7804;45.3026;63.06;~;M5.5
G 268-130;pm;17.3021;-24.6891;63.06;12.3;M3
G 143-35;pm;302.8052;16.1856;63.07;13.9;M4.0V
HD 37008;pm;84.5494;51.4457;63.07;~;K1V
HD 191785;pm;302.7753;16.188;63.07;7.3;K0V
G 29-19;pm;349.3939;6.3912;63.08;~;M3.0Ve
HD 219482;pm;349.2404;-62.0012;63.08;5.6;F6V
HD 24496B;pm;58.6159;16.6157;63.09;~;~
2MASS J15525906+2948485;bd;238.2461;29.8135;63.10;~;L0e
HD 125455;pm;214.8953;-5.1512;63.10;7.6;K1V
G 129-48;pm;359.4382;19.7698;63.11;~;M3.67
L 70-53;pm;208.8665;-73.4947;63.14;11.4;M2
HD 114613;pm;198.0133;-37.803;63.14;4.9;G3V
HD 199981B;pm;315.4139;-32.5246;63.15;~;~
CE 515;pm;281.5318;-32.8363;63.15;~;~
HD 24496;pm;58.6168;16.6161;63.17;6.8;G7V
HD 125455B;pm;214.8994;-5.1523;63.18;14.5;M4.0V
PM J05434-3041;pm;85.8611;-30.6959;63.18;11.5;M3
UCAC4 217-039132;pm;145.6676;-46.6216;63.19;~;~
StM 300;Star;250.4662;55.1729;63.19;12.8;M7:
LP 348-40;pm;2.971;22.9846;63.19;~;M3.5V
Gaia DR2 6312500665441926912;pm;227.1169;-12.4997;63.19;~;~
HD 118100;ev;203.68;-8.342;63.20;9.4;K5Ve
HD 178445;pm;287.7178;-47.1586;63.20;9.3;K6.5V
RX J0451.0+3127;pm;72.7559;31.4566;63.21;~;M3.7V
G 163-21;dbl;163.6748;-7.3093;63.22;13.2;M4.0V
G 100-49;pm;89.3277;17.1416;63.23;14.0;M4
LP 605-23;ev;128.127;-1.5774;63.23;18.4;M6Ve
UPM J1941-4602;Star;295.4717;-46.0419;63.24;12.5;~
G 2-26;pm;17.9028;12.0853;63.24;12.3;M0V
HD 199981;pm;315.4129;-32.5245;63.24;9.3;K6Vk:
LP 803-32;pm;236.9641;-16.315;63.25;13.9;~
Ross 768;pm;315.6697;-18.5214;63.29;11.3;M1
LP 141-1;low;281.4677;52.4613;63.29;15.0;d/sdM4
APMPM J2127-3844;pm;321.7691;-38.7475;63.29;~;~
LP 715-39;pm;69.6548;-11.5041;63.29;12.7;M3.0V
G 201-33;pm;226.456;55.0787;63.30;~;M3.5
Wolf 832;pm;273.7494;19.6572;63.30;~;M2.0V
SCR J1204-4037;pm;181.0647;-40.6313;63.30;13.5;~
* sig02 UMa A;pm;137.5981;67.134;63.31;4.8;F6IV-V
BD+02 2098;pm;133.7818;1.5465;63.31;10.0;M0V
G 100-49B;pm;89.3297;17.141;63.31;~;~
LP 211-12;pm;142.507;39.6233;63.31;~;M3V
LP 397-34 A;pm;323.0916;24.5616;63.32;~;M4V
G 241-76A;pm;3.3158;69.3269;63.32;~;M3.5Ve
HD 85488;pm;148.0473;3.2218;63.33;8.8;K5V
LP 499-10;pm;209.5863;11.0138;63.34;~;~
G 170-54;pm;264.402;22.0973;63.36;~;M4.10
HD 6660B;pm;16.9106;22.9558;63.36;13.6;M3.5Ve
G 153-36;pm;243.5479;-14.3585;63.36;~;~
EGGR 16;wd;34.2418;42.9681;63.36;16.2;DA9.5
LP 740-6;pm;215.8494;-14.9263;63.36;15.8;M5Ve
HD 6660;pm;16.9078;22.955;63.39;9.2;K4V
LP 473-7;pm;53.9718;10.2859;63.41;~;~
2MASS J10280776-6327128;wd;157.0323;-63.4536;63.41;~;DAZ?
2MASS J05441150-2433018;low;86.048;-24.5507;63.43;~;M7.6V
LP 49-129;pm;353.9344;73.9036;63.44;~;~
G 264-17;pm;330.8386;67.5;63.44;~;M4.46
UCAC4 542-050682;pm;173.0959;18.2729;63.44;14.8;M2.5V
Gaia EDR3 4145205501565331712;Brown Dwarf Candidate;271.1376;-15.5771;63.44;~;~
* sig02 UMa B;pm;137.5978;67.1351;63.45;10.3;K2V
G 93-33;pm;326.0541;6.6415;63.46;12.2;M3.0V
HD 23052;dbl*;55.6536;17.2935;63.46;7.1;G4V
1RXS J000849.7+461142;pm;2.2067;46.1962;63.47;~;~
G 215-30;pm;329.8414;41.8589;63.47;~;M3.0Ve
LP 397-34 B;pm;323.0919;24.5617;63.50;~;M4V
G 197-32;pm;177.197;53.086;63.50;~;M4V
LP 162-55;pm;115.5407;50.0744;63.51;~;M2.5Ve
UCAC4 384-059338;pm;173.0354;-13.3228;63.52;~;~
StKM 1-598;ev;97.7548;50.0467;63.52;~;M0.8V
V* V2213 Oph;by;256.3201;0.7026;63.53;~;F8.5IV-V
2MASS J06231714+2631320;pm;95.8214;26.5255;63.55;~;~
PM J22280-0411;pm;337.005;-4.1997;63.56;~;~
SCR J1117-3202;pm;169.3721;-32.0361;63.58;14.6;~
LP 297-12;pm;32.999;32.363;63.58;~;~
HD 285190;dbl*;75.817;21.3989;63.59;~;M1.5V
SDSS J091614.94+213950.8;pm;139.0625;21.6642;63.59;~;M9V
Wolf 945;pm;326.9687;50.2466;63.60;~;M4V
HD 219623;pm;349.1763;53.2135;63.60;~;F8V
L 989-38;pm;261.0706;-4.3645;63.60;12.1;M2V
2MASS J04430581-3202090;bd;70.7743;-32.0358;63.62;~;L6.4:V
HD 23588A;pm;56.3506;-27.8625;63.63;8.4;K5V
V* V2367 Oph;pm;258.4186;-8.4208;63.64;12.0;M3.5
LP 257-28;wd;121.4903;38.5624;63.66;~;DC9
PM J01344+6426W;pm;23.612;64.4474;63.66;~;~
L 300-117;pm;53.6788;-48.4013;63.66;13.5;~
Gaia EDR3 1820834656271108864;pm;297.3726;17.2174;63.67;~;~
LEHPM 927A;pm;11.159;-78.7526;63.67;~;~
L 235-35;pm;88.1215;-55.1118;63.68;12.7;~
LP 322-288;pm;195.031;30.6491;63.70;~;M6V
LSPM J1917+2833;pm;289.3813;28.554;63.71;~;M5.31
HD 870;pm;3.2094;-57.9126;63.72;7.2;K0V
G 8-29;pm;65.4587;21.3286;63.74;~;M3.5
LP 798-29;pm;206.1545;-19.9121;63.75;~;~
2MASS J15201272-3559244;pm;230.053;-35.9902;63.75;~;~
LP 535-36;pm;69.2047;4.853;63.75;16.4;~
CD-34 1770;pm;69.1063;-33.7466;63.76;10.2;~
Ross 727;pm;287.3329;-14.7486;63.76;12.0;M3
2MASS J09221688-0852105;pm;140.5703;-8.8696;63.76;~;~
LSPM J0636+0619;pm;99.154;6.3195;63.76;~;M6V
2MASS J17343053-1151388;low;263.6272;-11.8608;63.77;~;M9.0V
G 66-37;pm;223.1189;12.3924;63.78;~;M2.5Ve
LP 870-16;pm;299.1102;-21.642;63.79;~;~
G 202-68;pm;249.8761;50.5676;63.80;11.9;M0V
PM J20501-2342;pm;312.5331;-23.7138;63.81;11.8;~
HD 59747;by;113.2524;37.0298;63.81;7.7;G5V
PM J23073-0415;pm;346.8328;-4.2591;63.81;10.7;M1
SCR J1847-1922;pm;281.8196;-19.3724;63.82;14.4;~
LSPM J1754+1251;pm;268.6805;12.8557;63.82;~;M2.0Ve
HD 137778;pm;232.0509;-9.3579;63.83;7.5;K1V
G 64-28;pm;208.8963;-7.388;63.83;12.6;M3.0V
2MASS J17461199+5034036;bd;266.5499;50.5676;63.83;~;L5.7V
LP 356-15;pm;51.0536;23.772;63.84;11.8;M2.5Ve
HD 23588B;pm;56.3504;-27.8628;63.85;11.0;M3V
UCAC4 326-054121;Star;136.4022;-24.8882;63.85;16.1;~
L 38-47;pm;185.528;-78.6409;63.85;12.1;M3
UPM J0432+6300;pm;68.0749;63.0019;63.85;~;~
Gaia EDR3 6067637295632046464;pm;197.4664;-54.6467;63.86;~;~
L 886-6;wd;105.4785;-6.4628;63.86;15.4;DA7.6
2MASS J22590642-5420357;pm;344.7769;-54.3433;63.86;~;~
2MASSI J1526140+204341;bd;231.5584;20.7279;63.87;~;L5
CD-36 9107;pm;211.8516;-36.7287;63.87;9.7;M0
LP 474-219;pm;64.1782;13.1829;63.88;~;~
LSPM J0225+6229;pm;36.3596;62.4995;63.89;~;~
LP 758-16;pm;324.7655;-10.8124;63.89;~;M5.5Ve
G 10-52;pm;177.1479;7.6946;63.90;~;M3.5V
LEHPM 927B;pm;11.1573;-78.7525;63.91;~;~
2MASS J11383010-3455356;pm;174.6254;-34.9266;63.91;~;~
L 17-50;pm;160.4848;-82.9898;63.91;13.3;~
LP 584-4;pm;0.5259;1.26;63.92;~;M6.5e
LP 356-14 A;pm;51.027;23.785;63.92;10.4;M1.5Ve
G 188-47;ev;333.3987;25.9696;63.93;~;M4e
CD-42 16413;pm;354.5726;-41.5177;63.93;11.9;M3V
